"Bill_Dt","Vch_Nbr","Vch_Entries_Nbr","Ptf_Id","Accting_Peroid","Vch_Catg","Coa_Id","Ccy_Cd","Ex_Rate","Recnclt_Ind","Txn_Amt_Occy","Txn_Amt_Dccy","Db_Cr_Ind","Txn_Qty","Unit_Prc","Vch_Src_Cd","Vch_Memo","Occur_Dt","Bill_Tm","Accessory_Qty","Posting_Ind","Secu_Txn_Mode","Src_Ptf_Id","Assist_Accting_Cd","Vch_Assoc_Nbr","In_Memo_Nbr","Biz_Ref_Nbr","GMS_Vch_Nbr","Remarks","Reserve1","Reserve2","Bill_Usr_Id","Chk_Usr_Id","Upd_Usr_Id","Posting_Usr_Id","Cfm_Usr_Id","Bond_Cd","Exchange_Cd"
"20191010","513","2","Z00295","201910"," ","10020100001","CNY"," "," ","2514770.0600","2514770.0600","C","0.000000","0E-16","XJQS","(2019-10-09)(2019-10-10)[证券结算][股票品种_股票][002714 SZ_牧原股份]"," ","2019-11-06 15:56:26"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"20191010","513","1","Z00295","201910"," ","30033100001","CNY"," "," ","2514770.0600","2514770.0600","D","0.000000","0E-16","XJQS","(2019-10-09)(2019-10-10)[证券结算][股票品种_股票][002714 SZ_牧原股份]"," ","2019-11-06 15:56:26"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"20191010","514","2","Z00295","201910"," ","10020100001","CNY"," "," ","3008584.9200","3008584.9200","C","0.000000","0E-16","XJQS","(2019-10-09)(2019-10-10)[证券结算][股票品种_股票][600585 SH_海螺水泥]"," ","2019-11-06 15:56:26"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"20191010","514","1","Z00295","201910"," ","30031100001","CNY"," "," ","3008584.9200","3008584.9200","D","0.000000","0E-16","XJQS","(2019-10-09)(2019-10-10)[证券结算][股票品种_股票][600585 SH_海螺水泥]"," ","2019-11-06 15:56:26"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"20191010","515","2","Z00295","201910"," ","10020100001","CNY"," "," ","1511136.7700","1511136.7700","C","0.000000","0E-16","XJQS","(2019-10-09)(2019-10-10)[证券结算][股票品种_股票][600031 SH_三一重工]"," ","2019-11-06 15:56:26"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"20191010","515","1","Z00295","201910"," ","30031100001","CNY"," "," ","1511136.7700","1511136.7700","D","0.000000","0E-16","XJQS","(2019-10-09)(2019-10-10)[证券结算][股票品种_股票][600031 SH_三一重工]"," ","2019-11-06 15:56:26"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"20191010","516","2","Z00295","201910"," ","10020100001","CNY"," "," ","5010199.4100","5010199.4100","C","0.000000","0E-16","XJQS","(2019-10-09)(2019-10-10)[证券结算][股票品种_股票][601166 SH_兴业银行]"," ","2019-11-06 15:56:26"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"20191010","516","1","Z00295","201910"," ","30031100001","CNY"," "," ","5010199.4100","5010199.4100","D","0.000000","0E-16","XJQS","(2019-10-09)(2019-10-10)[证券结算][股票品种_股票][601166 SH_兴业银行]"," ","2019-11-06 15:56:26"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"20191010","517","2","Z00295","201910"," ","10020100001","CNY"," "," ","5000866.5200","5000866.5200","C","0.000000","0E-16","XJQS","(2019-10-09)(2019-10-10)[证券结算][股票品种_股票][600048 SH_保利地产]"," ","2019-11-06 15:56:26"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"20191010","517","1","Z00295","201910"," ","30031100001","CNY"," "," ","5000866.5200","5000866.5200","D","0.000000","0E-16","XJQS","(2019-10-09)(2019-10-10)[证券结算][股票品种_股票][600048 SH_保利地产]"," ","2019-11-06 15:56:26"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"20191010","518","2","Z00295","201910"," ","10020100001","CNY"," "," ","3009796.9800","3009796.9800","C","0.000000","0E-16","XJQS","(2019-10-09)(2019-10-10)[证券结算][股票品种_股票][600036 SH_招商银行]"," ","2019-11-06 15:56:26"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"20191010","518","1","Z00295","201910"," ","30031100001","CNY"," "," ","3009796.9800","3009796.9800","D","0.000000","0E-16","XJQS","(2019-10-09)(2019-10-10)[证券结算][股票品种_股票][600036 SH_招商银行]"," ","2019-11-06 15:56:26"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"20191010","519","2","Z00295","201910"," ","10020100001","CNY"," "," ","1494708.6000","1494708.6000","C","0.000000","0E-16","XJQS","(2019-10-09)(2019-10-10)[证券结算][股票品种_股票][600547 SH_山东黄金]"," ","2019-11-06 15:56:26"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"20191010","519","1","Z00295","201910"," ","30031100001","CNY"," "," ","1494708.6000","1494708.6000","D","0.000000","0E-16","XJQS","(2019-10-09)(2019-10-10)[证券结算][股票品种_股票][600547 SH_山东黄金]"," ","2019-11-06 15:56:26"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"20191010","520","2","Z00295","201910"," ","10020100001","CNY"," "," ","11365723.9900","11365723.9900","D","0.000000","0E-16","XJQS","(2019-10-09)(2019-10-10)[证券结算][股票品种_股票][600519 SH_贵州茅台]"," ","2019-11-06 15:56:26"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"20191010","520","1","Z00295","201910"," ","30031100001","CNY"," "," ","11365723.9900","11365723.9900","C","0.000000","0E-16","XJQS","(2019-10-09)(2019-10-10)[证券结算][股票品种_股票][600519 SH_贵州茅台]"," ","2019-11-06 15:56:26"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"20191010","521","2","Z00295","201910"," ","10020100001","CNY"," "," ","90008124.6600","90008124.6600","D","0.000000","0E-16","XJQS","(2019-10-09)(2019-10-10)[证券结算][回购品种_质押式][204001 SH_GC001]"," ","2019-11-06 15:56:26"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"20191010","521","1","Z00295","201910"," ","30031100001","CNY"," "," ","90008124.6600","90008124.6600","C","0.000000","0E-16","XJQS","(2019-10-09)(2019-10-10)[证券结算][回购品种_质押式][204001 SH_GC001]"," ","2019-11-06 15:56:26"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"20191010","522","2","Z00295","201910"," ","10020100001","CNY"," "," ","71000000.0000","71000000.0000","C","0.000000","0E-16","XJQS","(2019-10-09)(2019-10-10)[证券结算][回购品种_质押式][204001 SH_GC001]"," ","2019-11-06 15:56:26"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"20191010","522","1","Z00295","201910"," ","30031100001","CNY"," "," ","71000000.0000","71000000.0000","D","0.000000","0E-16","XJQS","(2019-10-09)(2019-10-10)[证券结算][回购品种_质押式][204001 SH_GC001]"," ","2019-11-06 15:56:26"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"20191010","524","2","Z00295","201910"," ","10020100001","CNY"," "," ","3121.1400","3121.1400","C","0.000000","0E-16","YYSZ","(2019-10-10)[运营收支项][托管费]"," ","2019-11-06 15:56:26"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"20191010","524","1","Z00295","201910"," ","22070000001","CNY"," "," ","3121.1400","3121.1400","D","0.000000","0E-16","YYSZ","(2019-10-10)[运营收支项][托管费]"," ","2019-11-06 15:56:26"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"20191010","525","2","Z00295","201910"," ","10020100001","CNY"," "," ","31211.4100","31211.4100","C","0.000000","0E-16","YYSZ","(2019-10-10)[运营收支项][管理费]"," ","2019-11-06 15:56:26"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"20191010","525","1","Z00295","201910"," ","22060000001","CNY"," "," ","31211.4100","31211.4100","D","0.000000","0E-16","YYSZ","(2019-10-10)[运营收支项][管理费]"," ","2019-11-06 15:56:26"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"20191010","526","2","Z00295","201910"," ","10020100001","CNY"," "," ","200.0000","200.0000","C","0.000000","0E-16","QTFY","(2019-10-10)[其他费用项][手续费][手续费]"," ","2019-11-06 15:56:26"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"20191010","526","1","Z00295","201910"," ","66050000001","CNY"," "," ","200.0000","200.0000","D","0.000000","0E-16","QTFY","(2019-10-10)[其他费用项][手续费][手续费]"," ","2019-11-06 15:56:26"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"20191010","527","2","Z00295","201910"," ","10020100001","CNY"," "," ","5.0000","5.0000","C","0.000000","0E-16","QTFY","(2019-10-10)[其他费用项][手续费][手续费]"," ","2019-11-06 15:56:26"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"20191010","527","1","Z00295","201910"," ","66050000001","CNY"," "," ","5.0000","5.0000","D","0.000000","0E-16","QTFY","(2019-10-10)[其他费用项][手续费][手续费]"," ","2019-11-06 15:56:26"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"20191010","528","2","Z00295","201910"," ","10020100001","CNY"," "," ","10.0000","10.0000","C","0.000000","0E-16","QTFY","(2019-10-10)[其他费用项][手续费][手续费]"," ","2019-11-06 15:56:26"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"20191010","528","1","Z00295","201910"," ","66050000001","CNY"," "," ","10.0000","10.0000","D","0.000000","0E-16","QTFY","(2019-10-10)[其他费用项][手续费][手续费]"," ","2019-11-06 15:56:26"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"20191010","529","1","Z00295","201910"," ","12041211204001","CNY"," "," ","6438.6300","6438.6300","D","0.000000","0E-16","HGJX","(2019-10-10)[计提逆回购收益][204001 SH_GC001]"," ","2019-11-06 15:56:26"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"20191010","529","2","Z00295","201910"," ","60110400011","CNY"," "," ","6438.6300","6438.6300","C","0.000000","0E-16","HGJX","(2019-10-10)[计提逆回购收益][204001 SH_GC001]"," ","2019-11-06 15:56:26"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"20191010","590","1","Z00295","201910"," ","1204.01.01","CNY"," "," ","64.3600","64.3600","D","0.000000","0E-16","CKJX","(2019-10-10)[计提存款利息][01_银行存款]"," ","2019-11-06 15:56:26"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
